"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"79","zh-TW","景福宮","110-820 首爾市鍾路區世宗路 1-1 ","03045 首爾市鍾路區三清路37 ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","1~2月09:00 ~ 17:00（16點以後禁止入場） 3~5月09:00 ~ 18:00（17點以後禁止入場） 6~8月09:00 ~ 18:30（17點30分以後禁止入場） 9~10月09:00 ~ 18:00（17點以後禁止入場） 11~12月09:00 ~ 17:00（16點以後禁止入場） ※ 售票至參觀結束前1小時止","","每週二","5號線光化門站2號出口步行10分鐘 3號線景福宮站5號出口步行5分鐘","首爾古宮首爾約會韓國文化首爾旅遊景福宮介紹韓國傳統文化韓國歷史文化古蹟首爾行程景福宮入場費首爾景點景福宮","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所"
"2589","zh-TW","曹溪寺 ","110-170 首爾鍾路區堅志洞 45","110-170 首爾市鍾路區郵政局路55 ","+82-2-768-8600","+82-2-720-2299","http://www.jogyesa.kr","隨著法會、參佛等寺廟活動會有所變動","","","3號線安國站6號出口出步行10分鍾 5號線光化門站2號出口出步行15分鐘 1號線鐘閣站2號出口出步行10分鐘","曹溪寺 佛教寺院寄宿安國站 宗教聖地首爾曹溪寺","無障礙坡道"
"2588","zh-CN","曹溪寺(조계사)","110-170 首尔钟路区坚志洞 45","110-170 首尔市钟路区邮政局路55 ","+82-2-768-8600","+82-2-720-2299","http://www.jogyesa.kr","受法会、祷告、参佛等寺院活动日程安排的影响，开放时间可能会有变动。","","","3号线 安国 6号出口出来后，步行10分钟  5号线 光化门 2号出口出来后，步行15分钟  1号线 钟阁 2号出口出来后，步行10分钟  ","佛教首尔曹溪寺宗教圣地钟路区曹溪寺曹溪寺(조계사)首尔旅游","无障碍坡道"
"1182","zh-CN","杨花津外国传教士墓园","121-883 首尔市麻浦区杨花津街46 ","04084 首尔市麻浦区杨花津街46 ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","※导览时间：10:00、11:30、14:00、15:30 ※元旦、春节与中秋连假、圣诞节不提供导览服务","星期一 ~ 星期六","※元旦、春节与中秋连假、圣诞节不提供导览服务","26号线 合井站从7号出口出来后，步行200米   ","广惠院弘大合井洞切头山殉教纪念馆杨花津外国人传教士墓园纪念馆合井站墓园","无障碍坡道残疾人专用停车场残疾人洗手间"
"1171","zh-TW","楊花津外國人傳教士墓園","121-883 首爾市麻浦區楊花津街46 ","04084 首爾市麻浦區楊花津街46 ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","10:00~17:00 ","週一~週六 ※導覽時間：10:00、11:30、14:00、15:30 ※元旦、春節與中秋連假、聖誕節不提供導覽服務","週日","2、6號線合井站7號出口步行 200公尺 ","宗教聖地紀念館歷史弘大楊花津外國人傳教士墓園合井站","無障礙停車場無障礙坡道無障礙廁所"
"21363","zh-TW","樂天世界塔","138-240 首爾市松坡區新川洞29 ","05551 首爾市松坡區奧林匹克路300(新川洞) ","+82-2-3213-5000","","https://www.lwt.co.kr/cn/main/main.do","各設施不同，詳情請參考網站","","全年無休","地鐵2、8號線蠶室站2、8號出口","123樓購物中心無限挑戰SEOULSKY樂天世界購物中心水族館地標展望台樂天世界塔蠶室站","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"35089","zh-CN","首尔路7017 游客客运站","04528 首尔市中区万里洞1街22-1 首尔7017旅客客运站","  ","+82-2-312-1697","","","10:00 ~ 19:00","年中无休","春节、中秋当天休息","14号线 首尔站2号出口 2号线 忠正路站5号出口","旅游首尔7017路线首尔7017旅客客运站旅客客运站首尔之旅","无障碍坡道残疾人洗手间"
"23498","zh-TW","樂天世界民俗博物館","138-721 首爾市松坡區蠶室洞40-1 ","05554 首爾市松坡區奧林匹克路240(樂天世界) "," 1661-2000","","http://www.lotteworld.com/museum/","平日 AM 09:30 ~ PM 08:00 週末 AM 09:30 ~ PM 09:00 (閉館前1小時停止入場)","週一~週日","全年無休","2、8號蠶室站4號出口","傳統工藝品展覽傳統博物館民俗蠶室站歷史樂天世界民俗博物館樂天世界宮廷服飾","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"11613","zh-CN","汉城百济博物馆","138-050 首尔市松坡区芳荑洞 88-20","138-050 首尔市松坡区慰礼城大路71 ","+82-2-2152-5900～7","+82-2-2152-5908","","","","1月1日、每周一","8号线 梦村土城站1号出口→朝右侧(南2门)方向移动650米 5号线（马川方向） 奥林匹克公园站3号出口→南2门方向移动1千米左右  ","汉城百济博物馆常设展厅展览遗址博物馆文化展示空间历史","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"11614","zh-TW","漢城百濟博物館","138-050 首爾市松坡區芳荑洞 88-20","138-050 首爾市松坡區慰禮城大路71 ","","","http://baekjemuseum.seoul.go.kr/","平日 09:00~21:00 週末、國定假日 09:00~19:00 (11月~2月：09:00~18:00)","","1月1日、每週一","8號線夢村土城站1號出口→往右側(南二門)方向移動 650m 5號線(馬川方向)奧林匹克公園站3號出口→往南二門方向移動1km","芳荑洞百濟文化漢城百濟博物館夢村土城松坡區歷史博物館遺址文化財奧林匹克公園展覽蠶室4影像體驗","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"33880","zh-CN","诚信女子大学服饰博物馆与自然史博物馆","  ","01133 首尔特别市江北区道峰路76ga街55，云庭绿色校区B1 ","服饰博物馆：+82-2-920-2657，自然史博物馆：+82-2-920-7890","+82-2-920-2796","https://www.sungshin.ac.kr/sites/museum/index.do","周一~周六：10:00~17:00（周日、法定公休日闭馆）","","","4号线弥阿站 2号出口下车步行10分钟","诚信女子大学服饰博物馆，自然史博物馆","残疾人专用停车场残疾人洗手间电梯"
"1454","zh-TW","貞洞劇場","100-120 首爾中區貞洞8-11 ","04518 首爾市中區貞洞路43 ","+82-2-751-1500","+82-2-751-1588","https://www.jeongdong.or.kr/portal/main/main.do","演出時間都不同。","週二～週六 (客服服務：09:00~18:00)","週日、週一","5號線西大門站5號出口步行10分鐘    1號線市廳站1、2、12號出口步行5~10分鐘    ","藝術藝術中心貞洞劇場表演貞洞街貞洞文化市廳站","無障礙停車場無障礙坡道無障礙廁所"
"1452","zh-CN","贞洞剧场","100-120 首尔中区贞洞路 ","04518 首尔市中区贞洞街43 ","+82-2-751-1500","+82-2-751-1588","https://www.jeongdong.or.kr/portal/main/main.do","演出时间都不同 ","周二～周日 (客服服务：周二~周日 09:00~18:00)","每周一、周日休息","5号线 西大门站5号出口出来后，步行10分钟    1号线 市政府站1号，2号，12号出口出来后，步行5-10分钟    ","艺术剧院贞洞剧场","无障碍坡道残疾人专用停车场残疾人洗手间"
"1903","zh-CN","韩国的代表性广场——光化门广场","100-101 首尔市钟路区世宗路 1-68","100-101 首尔市钟路区世宗大路172 ","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","24小时开放","周一~周日","","3号线 景福宫站6号，7号出口，外换银行方向 5号线 光化门站1号、2号、8号出口 1号线 市政府站3号出口，经过德寿宫后往高丽雅娜宾馆方向  ","国立韩字博物馆光华门广场韩文光华门世宗大王韩字日训民正音","无障碍坡道残疾人洗手间"
"33883","zh-CN","首尔下水道科学馆","  ","04809 首尔市城东区汽车市场3街64（龙踏洞250-4） ","+822-2211-2540","","http://sssmuseum.org","周二至周日（09:00~17:00），闭馆日（每周一、1月1日、春节和中秋节当天）","","","5号线长汉坪站 8号出口","科学，科学馆，环境，污水处理，教育，水再生中心，下水道科学馆，博物馆，museum","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"2722","zh-CN","首尔历史博物馆","110-062  ","03177 首尔市钟路区新门内路55 ","+82-2-724-0274","","http://www.museum.seoul.kr","周中 09:00 ~ 20:00  周六、周日、公休日 09:00 ~ 19:00 (11月 ~ 2月 周中 09:00 ~ 18:00)","周二~周日","每周一、1月1日","3号线 景福宫站7号出口 5号线 西大门站4号出口出来后，步行300米 5号线 光化门站7号、8号出口出来后，步行400米","历史文化体验传统博物馆首尔历史博物馆光华门遗产","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"33752","zh-CN","首尔历史博物馆在线教育服务"," 首尔市钟路区新闻路2街2-1 ","03177 首尔市钟路区新闻路2街 ","+82-2-724-0274","","http://www.museum.seoul.kr","周中 09:00~20:00 周六、周日及公休日 09:00~19:00","","周一","1号线 市厅站 1、2、3号出口 5号线 光华门站 7、8号出口 5号线 西大门站 4号出口","教育随时随地相约博物馆历史学习seoulmuseumofhistory 博物馆外国人教育线上教育博物馆遗物高考相关教育首尔历史博物馆家庭教育 ","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"10232","zh-CN","首尔图书馆 (原首尔市政府旧厅舍)"," 首尔特别市中区 太平路1街31"," 首尔市中区世宗大路110 ","+82-2-2133-0300","","https://lib.seoul.go.kr/","平日 09:00~21:00 周末 09:00~18:00","星期二~星期天","周一休馆","12号线 市政府站5号出口 2号线 乙支路入口站1号出口","市厅首尔市图书馆纪念馆首尔市厅旧首尔市厅市厅图书馆历史首尔图书馆 (原首尔市政府旧厅舍)","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"1570","zh-CN","首尔市立美术馆 ","100-813 首尔中区西小门洞 37美术馆路30","04515 首尔市中区德寿宫街61 ","+82-2-2124-8800","","http://sema.seoul.go.kr/","观览时间： <3月~10月> 周二~周五 10:00~20:00 （周六•日•公休日至19:00）  <11月~2月> 周二~周五 10:00~20:00 （周六•日•公休日至18:00）  ※ 文化日 - 西小门本馆，北首尔美术馆:最后一周星期三 10:00 - 22:00 ※  休馆日 ：每周一，元旦 ","星期二 星期三 星期四 星期五 星期六 星期天","每年1月1日，每周一10：00 ~ 19:00 ","5号线 西大门站6号出口    1号线 首尔站    2号线 市政府站10号出口  ","美术首尔市立美术馆德寿宫艺术文化美术馆美术展览首尔展览西大门站光化门市厅站贞洞街西小门洞","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"102","zh-CN","首尔汉阳都城","110-041 首尔市钟路区楼上洞san1-3 ","03038 首尔市钟路区玉仁6街26-22  (楼上洞) ","02-120","","http://seoulcitywall.seoul.go.kr/front/ch/index.do","","","","3号线 安国 2号出口支线（绿色）乘坐02号巴士，卧龙公园下车后步行10分钟 4号线 惠化 1号出口乘坐支线（绿色）巴士 钟路08号巴士到明伦3街下车后步行30分","古迹探访首尔汉阳都城历史她很漂亮","残疾人专用停车场残疾人洗手间"
"33893","zh-TW","首爾下水道科學館"," 首爾市城東區龍踏洞250-4 ","04809 首爾市城東區汽車市場3街64(龍踏洞) ","+82-2-2211-2540","","http://sssmuseum.org","09:00~17:00","週二~週日","週一、1月1日、春節與中秋節當天","5號線長漢坪站8號出口","水再生中心環境污水處理下水道科學館博物館科學館科學museum教育","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"10234","zh-TW","首爾圖書館 (首爾舊市政大樓)"," 首爾市中區 太平路1街 31"," 首爾市中區世宗大路110 ","+82-2-2133-0300","","https://lib.seoul.go.kr/","平日 09:00~21:00 週末 09:00~18:00","週二~週日","週一、國定假日","1、2號線市廳站5號出口 2號線乙支路入口站1號出口","文化首爾圖書館圖書館市府圖書館首爾舊市政大樓文化首爾市政府圖書館市廳乙支路站光化門市廳站","殘疾人士服務台(租借輪椅等)無障礙坡道無障礙廁所電梯"
"33891","zh-TW","首爾城市再生故事館"," 首爾市鍾路區新門路2街6 ","03178 首爾市鍾路區松月街2 ","+82-70-4160-3963","","https://surc.or.kr/story","10:00~19:00 ","週二~週日","週一、國定假日","5號線西大門站4號出口","敦義門博物館村故事館首爾城市再生故事館城市再生#牽手首爾","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"1584","zh-TW","首爾市立美術館(西小門本館)","100-813 首爾市中區德壽宮路61(西小門洞37) ","04515 首爾市中區德壽宮街61 ","+82-2-2124-8800  ","","http://sema.seoul.go.kr/global/tindex.jsp","3～10月 10:00～20:00（週末及國定假日至19:00） 11～2月 10:00～20:00（週末及國定假日至18:00） ※ 最後入場時間為閉館前一小時 ※ 文化日 - Seoul Museum of Art(首爾市立美術館)北首爾美術館:最後一週週三 10:00 - 22:00","","每週一、元旦","5號線西大門站6號出口    2號線市廳站10號出口    ","首爾市立美術館美術市廳站貞洞街首爾展覽文化西小門洞德壽宮西大門站美術展覽光化門美術館藝術","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"2726","zh-TW","首爾歷史博物館","110-062 首爾市鍾路區新門路2街2-1 ","03177 首爾市鍾路區新門內路55 ","+82-2-120","","http://www.museum.seoul.kr","平日 09:00~20:00  週六、週日、國定假日 09:00~19:00 (11~2月 09:00~18:00)","週二~週日","週一、元旦","3號線景福宮站7號出口 5號線西大門站4號出口300公尺 5號線光化門站7、8號出口400公尺","傳統慶熙宮歷史博物館光化門景福宮站紀念館西大門站光化門站首爾歷史博物館文物文化","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"32869","zh-TW","首爾民歌博物館開館"," 서울 종로구 와룡동 5-9 ","03131 首爾市鐘路區栗谷路96 ","+82-2-742-2600","","http://gomuseum.seoul.go.kr/sekm/index","參觀時間：09:00—19:00 ","","休館日：每週一、1月1日、春節和中秋節當天","3號線安國站4號出口1、3、5號線鐘路3街站6號出口","民謠益善洞國樂韓國民謠昌德宮博物館博物館城市首爾","無障礙坡道無障礙廁所電梯"
"103","zh-TW","首爾漢陽都城","110-041  ","03038 首爾市鍾路區玉仁六街26-22 ","02-120","","http://seoulcitywall.seoul.go.kr/front/ch/index.do","","","","3號線安國站2號出口，搭乘02號公車在臥龍公園下車後步行10分鐘 4號線惠化站1號出口，搭乘08號公車在明倫3街站下車後步行30分鐘","仁王山漢陽都城傳統東大門四小門四大門古蹟探訪首爾漢陽都城南山她曾漂亮","無障礙停車場無障礙廁所"
"35119","zh-TW","首爾路7017遊客客運站"," 首爾市中區萬里洞1街22-1 ","04528 首爾市中區太平路33 ","+82-2-312-1697","","https://www.instagram.com/travellerslounge_seoul/","10:00~19:00","週一~週日","春節、中秋節","地鐵1、4號線首爾站2號出口 地鐵2號線忠正路站5號出口","首爾路7017首爾路7017遊客客運站遊客客運站","無障礙坡道無障礙廁所"
"72","ko","경복궁","110-820 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로 경복궁) ","02-3700-3900","02-3700-3909","http://www.royalpalace.go.kr:8080/","1월 ~ 2월 : 09:00~17:00(입장마감 16:00)  3월 ~ 5월 : 09:00~18:00(입장마감 17:00)  6월 ~ 8월 : 09:00~18:30(입장마감 17:30)  9월 ~ 10월 : 09:00~18:00(입장마감 17:00)  11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.  ","","화요일","5호선 광화문역 2번 출구 도보 10분 3호선 경복궁 5번 출구 도보 5분","경복궁입장료한국역사적명소서울볼거리서울나들이서울명소서울가볼만한곳경복궁서울관광지서울여행한국전통서울데이트한국문화서울궁궐","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"6957","ko","경희대학교 자연사박물관","130-701 서울 동대문구 회기동 1 ","02447 서울특별시 동대문구 경희대로 26 자연사박물관","02-961-0142 ","","http://nhm.khu.ac.kr/","10:00~17:00","월-금","-주말 -공휴일","1호선 외대앞 1번 출구 1호선 회기역 1번 출구"," 경희대학교 경희대 회기역유물 경희대자연사박물관 박물관 유럽산암석화성암 전시외대앞역퇴작암자연사박물관","장애인 전용 주차장"
"1900","ko","광화문광장","110-050 서울 종로구 세종로 1-68","03154 서울특별시 종로구 세종대로 172 ","02-120","","http://plaza.seoul.go.kr/gwanghwamun","도심 열린 광장으로 연중 24시간 상시 개방","월~일","연중무휴","3호선 경복궁 67번 출구 외환은행 방향으로 직진  5호선 광화문 1번 2번 8번 출구  1호선 시청 3번 출구 덕수궁을 지나 코리아나 호텔 방향으로 직진  "," 청계천 경복궁 이순신 세종대왕세종문화회관광화문 광화문광장도시 문화 광장","장애인화장실접근가능"
"20550","ko","국립고궁박물관","110-820 서울 종로구 세종로 1-57 ","03045 서울 종로구 효자로 12 (세종로 국립고궁박물관) ","02-3701-7500","","http://www.gogung.go.kr/main.do","10:00~18:00 (입장은 마감 1시간 전까지)","월~일","-1월 1일 -설날 추석 당일","3호선 경복궁역 5번 출구"," 경복궁역 유물 역사 관광지 서울관광 왕실문화 전시국립고궁박물관 문화재 박물관","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"40770","ko","국립기상박물관"," 서울 종로구 송월동 1-1 ","03178 서울 종로구 송월길 52 (송월동 국립기상박물관) ","070-7850-8493 ","","https://science.kma.go.kr/museum","10:00  - 18:00","화요일 - 일요일","매주 월요일 1월 1일 설날 및 추석 당일","5호선 서대문역 4번 출구","가장오래된측우대날씨측우기측우대국립기상박물관한양도성경희궁100년관측소단풍서울기상관측소벚꽃","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"433","ko","국립중앙박물관","140-797 서울 용산구 용산동6가 168-6 ","04383 서울 용산구 서빙고로 137 (국립중앙박물관) ","02-2077-9000","","http://www.museum.go.kr/site/main/home","월 화 목 금 일요일 : 10:00 - 18:00  수 토요일 : 10:00 - 21:00  옥외 전시장(정원)은 오전 7시부터 관람하실 수 있습니다. ","","휴관일: 1월1일 설날(1.25.) 추석(10.1.) 상설전시실 정기휴실일 : 매년 4 11월 첫째 월요일 - 2020년 휴실일 : 4.6.(월) / 11.2.(월) ※기획전시실(특별전시 종료시 휴실) 어린이박물관 야외전시장은 정상 개관","4호선·경의중앙선 이촌역 2번 출구 ","유물 시티투어버스 용산구관람 역사 어린이박물관 이촌역 국립 박물관국립중앙 국립중앙박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"35405","ko","국립한글박물관 "," 서울 용산구 용산동6가 168-6 ","04383 서울 용산구 서빙고로 139 (용산동6가 국립한글박물관) ","02-2124-6200","","https://www.hangeul.go.kr/main.do","월 - 일   ","10:00 - 18:00","1월 1일 설날 당일 추석 당일 * 한글도서관 휴관일: 토요일 일요일 공휴일(한글날 제외)","4호선·경의중앙선 이촌역 2번 출구","한글박물관세종대왕한글 훈민정음국립한글박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"11659","ko","국립현대미술관 서울관","110-200 서울 종로구 소격동 165 165","03062 서울 종로구 삼청로 30 (소격동) ","02-3701-9500","","http://www.mmca.go.kr/","월요일 화요일 목요일 금요일 일요일 : 10:00 ~ 18:00 수요일 토요일 : 10:00 ~ 21:00 (18:00 ~ 21:00 야간개장) * 발권시간 : 관람종료 1시간 전까지 가능","월~일","1월1일 설날 추석","3호선 안국 1번 출구에서 북촌길 방면 또는 삼청로 민속박물관 방면  "," 전시 복합문화예술센터광화문문화의거리 현대미술삼청동 미술관안국역소격동국립현대미술관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"5765","ko","국회의사당","150-701 서울시 영등포구 여의도동 1 ","07233 서울특별시 영등포구 의사당대로 1  (여의도동) ","02-788-2114","02-788-3664","http://www.assembly.go.kr","평일 09:00~18:00 (17:00까지 입장가능) 토요일 09:00~13:00(12:00까지 입장가능)  국회의사당 (10인 이상의 단체)   ※ 12시 참관에 한해 개인참관(10인 미만) 신청 가능","월~토","일요일 공휴일 근로자의 날(5.1) 국회개원기념일(5.31)","9호선 국회의사당 1번 6번 출구"," 국회의사당역 국회의사당 국회참관 국회도서관 민주주의 의원회관인권국회 여의도 역사","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"36","ko","남산서울타워 ","140-022 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 105 (용산동2가 YTN서울타워) ","02-3455-9277","","http://www.seoultower.co.kr/","평일 12:00 ~ 21:00 주말/ 공휴일 11:00 ~ 21:00  * 마감시간 30분 전까지 입장가능 * 레스토랑 운영시간은 매장마다 상이하므로 홈페이지 확인바람","매일","연중무휴","3호선 충무로역 2번 출구 02번 버스 탑승 후 서울타워 하차    3호선 동대입구역 6번 출구 02번 탑승 후 서울타워 하차    6호선 이태원역 4번 출구 03번 버스 탑승 후 서울타워 하차  ","서울데이트남산남산서울타워야경케이블카전망대남산타워명동서울야경서울야경명소N서울타워남산타워전망대전망서울데이트장소","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"6668","ko","대한민국역사박물관"," 서울시 종로구 세종로 82-1 대한민국역사박물관 ","03141 서울시 종로구 세종대로 198 (세종로) ","02-3703-9200","02-3703-9216","http://www.much.go.kr","월 화 목 금 일 10:00 - 18:00 / 수 토 10:00 - 21:00","월 - 일","-1월 1일 -설날 -추석 휴관  ","3호선 경복궁 6번 출구 안국역 6번 출구 5호선 광화문 2번 출구 1호선 종각 1번 출구"," 역사체험학습야경 대한민국역사박물관 역사박물관 전망대종각역 광화문 전시경복궁역 박물관독립선언서 광화문역","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"2049","ko","덕수궁","100-120 서울 중구 정동 5-1","04519 서울 중구 세종대로 99 ","02-771-9951","02-771-9953","http://www.deoksugung.go.kr/","09:00 ~ 20:00 (매표 및 입장시간) 21:00 (퇴장시간)","화~일","월요일","2호선 시청 12번 출구 도보 5분 1호선 시청 2번 출구 도보 5분  ","정동돌담길한국궁서울필수여행지덕수궁야간한국여행지덕수궁궁고종의길정동길서울야경서울나들이서울여행서울걷기좋은길궁궐투어덕수궁투어한국역사한국전통","장애인 안내(휠체어 대여 및 기타)장애인화장실"
"1789","ko","도산공원","135-896 서울 강남구 신사동 649-9 649-9","06020 서울 강남구 도산대로45길 20 (도산전시관) ","02-3423-6285","","","24시간 개방  (도산 안창호 기념관 매일 10:00~ 17:00)","월~일","도산 안창호 기념관 1월 1일 명절 연휴 휴무 ","3호선 압구정 2번 3번 출구 도보 10분  ","도산공원 압구정역 전시 도산안창호강남안창호공원 기념관","장애인화장실접근가능"
"26206","ko","동대문역사관 상설전시실 재개관","100-197 서울 중구 을지로7가 2-1 ","04566 서울 중구 을지로 281 (을지로7가 2-1) 동대문역사공원 내 동대문역사관","+82-2-2153-0200","+82-2-2034-0697","http://www.museum.seoul.kr","10:00~18:00","행사기간 담당자 문의","월요일 1월 1일","2호선 동대문역사문화공원 1·2번 출구  지선버스 - 2012 동대문디자인플라자 하차 도보1분","전시상설전시실동대문역사관동대문역사문화공원박물관동대문유물서울역사박물관전시회","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"5815","ko","롯데월드 민속박물관","138-721 서울 송파구 잠실동 40-1 서울 송파구 잠실동 40-1","05554 서울 송파구 올림픽로 240 (잠실동 롯데월드) ","1661-2000","","http://www.lotteworld.com/museum/","11:00~19:00(입장 및 매표 마감시간 18:30)","월~일","","8호선 잠실 3번출구 (롯데월드 쇼핑몰 3층) 2호선 잠실 3번출구 (롯데월드 쇼핑몰 3층)"," 잠실역 궁중의례 민속식당가 전통음식 전시 전통공예품 잠실롯데월드민속박물관 박물관 어린이박물관전통","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"21278","ko","롯데월드타워","138-240 서울 송파구 신천동 29 ","05551 서울 송파구 올림픽로 300 (신천동) ","02-3213-5000","","http://www.lwt.co.kr/","매일 09:00 - 20:30 롯데면세점 연중 무휴 매일 10:00 - 23:00 롯데마트 격주 일요일 휴무 매일 10:00 - 20:00 롯데아쿠아리움 연중 무휴 매일 10:30 - 20:00 에비뉴엘 월 1회 정기 휴무 매일 10:30 - 22:00 쇼핑몰 연중 무휴 서울스카이 평일 10:30 - 22:00 (월~목요일 일요일) 주말 10:30 - 23:00 (금 토 공휴일 前일) ※시설별 상이 (홈페이지 참조)","월~일","연중무휴 ","2호선 잠실역 2번 출구 도보 5분 8호선 잠실역 11번 출구 도보 5분","잠실 전망대서울스카이 백화점 면세점롯데월드타워아쿠아리움 롯데월드","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"1232","ko","리움 미술관 ","140-893 서울 용산구 한남동 742-1 ","04348 서울 용산구 이태원로55길 60-16 (한남동) ","02-2014-6900","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30 ~ 18:00 (매표마감 17:30)","화~일","-월요일 -1월 1일 -설 연휴 -추석 연휴","6호선 한강진역 1번 출구 도보 10분","이태원예술체험리움미술관삼성리움한남동미술관미술관한강진역삼성미술관리움갤러리한남동문화","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"11469","ko","명동관광정보센터","100-793 서울 중구 을지로2가 181 외환은행 본점 별관 1층","04538 서울시 중구 을지로 66 한국외환은행 ","02-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","명동관광정보센터 / 기념품판매관 - 09:00~18:00","","일요일 명절 당일","2호선 을지로입구 5 6번 출구","명동관광정보센터관광정보명동서울관광정보센터을지로입구역안내관광정보센터","접근가능"
"4037","ko","명동성당","100-809 서울 중구 명동2가 1-1 ","04537 서울 중구 명동길 74 (명동성당) ","02-774-1784","","http://www.mdsd.or.kr","","","없음","4호선 명동 5번 8번 출구 도보 10분 2호선 을지로입구 5번 출구 도보 15~20분 2호선 을지로3가 12번 출구 도보 10분"," 명동 성당 종교 가톨릭 명동주교좌성당명동대성당 명동성당 천주교 역사 고딕","엘리베이터장애인 전용 주차장장애인화장실접근가능"
"5507","ko","몽촌역사관","138-749 서울 송파구 방이동 88-3 ","05540 서울 송파구 올림픽로 424 (몽촌역사관) ","02-2152-5900","02-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","09:00~18:00","화~일","-월 -1월 1일","5호선 올림픽공원역 3번 출구    8호선 몽촌토성역 1번 출구 "," 꿈나무영화마당 몽촌토성역유물 몽촌역사관 역사 잠실 박물관 백제박물관올림픽공원역 움집터전시관","장애인화장실접근가능"
"450","ko","문화역서울 284","100-162 서울 중구 봉래동2가 122-28 ","04509 서울 중구 통일로 1 (서울역 본옥) ","02-3407-3500","02-3407-3510","http://www.seoul284.org ","11:00~19:00 (주중·주말) ※ 관람시간 30분 전 입장 마감","화~일","월요일","1호선 서울역 2번 출구    4호선 서울역 2번 출구   "," 기차역문화역서울284문화역서울전시 284 서울역전시회 미술관 구서울역 서울역역사 광화문 유적지","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"411","ko","봉은사 ","135-870 서울 강남구 삼성동 73 ","06087 서울 강남구 봉은사로 531 (봉은사) ","02-3218-4800","02-544-2141","http://www.bongeunsa.org/","법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음","","","7호선 청담역 2번 출구 도보 15분    2호선 삼성역 6번 출구 도보 10분   ","봉은사 코엑스 템플스테이 종교 사찰 연등행렬 봉은사역 불교 강남","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실"
